district,transaction_type,land_shift_area,urban_land_use,main_use,main_building_material,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_category,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
Zhongzheng District,Land,4.0,Quotient,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,1600000.0,400000.0,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Wenshan District,Premises (land + building),40.75,Address,See other registration items,Reinforced concrete construction,62.0625,109.36,4,0,4,有,無,11850000.0,108357.71762984637,Not Applicable,0.0,0,2019,10,1956.9375,1,1,0
Wenshan District,Premises (land + building),33.81,Address,Resident,Reinforced concrete construction,69.0,109.42,3,2,2,有,無,10000000.0,91390.97057210747,Not Applicable,0.0,0,2019,10,1950.0,2,1,0
Wenshan District,Premises (land + building) + parking space,32.19,Address,Resident,Reinforced concrete construction,84.0,163.53,3,2,2,有,有,21000000.0,128416.8042560998,Ramp plane,0.0,0,2019,04,1935.0,1,1,1
Wenshan District,Premises (land + building),60.25,Address,See other registration items,Reinforced concrete construction,108.0,204.79,3,2,3,有,有,67203400.0,328157.6248840276,Not Applicable,0.0,0,2019,10,1911.0,1,1,0
Zhongzheng District,Premises (land + building),10.65,Quotient,See other registration items,Reinforced concrete construction,107.0,88.7,2,1,1,有,有,18250000.0,205749.71815107102,Not Applicable,0.0,0,2019,09,1912.0,2,1,0
Wenshan District,Premises (land + building) + parking space,16.99,Address,See other registration items,Reinforced concrete construction,108.0,80.31,3,2,2,有,有,11100000.0,138214.4191258872,Ramp plane,16.8,750000,2019,07,1911.0,1,1,1
Zhongzheng District,Premises (land + building),35.75,Address,Resident,Strengthen brickwork,58.0,97.41,3,2,1,有,無,15800000.0,162201.006056873,Not Applicable,0.0,0,2019,10,1961.0,1,1,0
Wenshan District,Premises (land + building),25.98,Address,Resident,Reinforced concrete construction,72.0,86.72999999999999,3,2,2,有,無,8000000.0,92240.28594488643,Not Applicable,0.0,0,2019,09,1947.0,7,1,0
Datong District,Premises (land + building),24.7,Quotient,Resident,Reinforced concrete construction,83.0,159.28,3,2,2,有,無,25880000.0,162481.1652435962,Not Applicable,0.0,0,2019,10,1936.0,2,1,0
Wanhua District,Premises (land + building),36.75,Address,Resident,Reinforced concrete construction,62.0,92.02,3,2,2,有,無,11000000.0,119539.23060204304,Not Applicable,0.0,0,2019,07,1957.0,1,1,0
Datong District,Premises (land + building),14.62,Quotient,Resident,Reinforced concrete construction,87.0,94.12,2,2,1,有,有,18700000.0,198682.53293667658,Not Applicable,0.0,0,2019,10,1932.0,2,1,0
Wanhua District,Premises (land + building),30.42,Address,For commercial use,Reinforced concrete construction,73.0,106.7,0,1,1,有,無,21000000.0,196813.49578256794,Not Applicable,0.0,0,2019,10,1946.0,3,1,0
Datong District,Premises (land + building),18.33,Quotient,Resident,Reinforced concrete construction,61.0,86.98,0,0,0,無,有,13000000.0,149459.64589560818,Not Applicable,0.0,0,2019,10,1958.0,2,1,0
Wanhua District,Premises (land + building) + parking space,17.94,Quotient,Resident,Reinforced concrete construction,106.0,272.04999999999995,4,2,1,有,有,51200000.0,188200.69840102925,Ramp plane,56.14,3500000,2019,09,1913.0,1,1,2
Wanhua District,Premises (land + building) + parking space,36.96,Address,Resident,Reinforced concrete construction,87.0,162.23000000000002,3,2,2,有,有,18300000.0,112802.81082413855,Ramp plane,0.0,0,2019,10,1932.0,1,1,1
Zhongzheng District,Premises (land + building),5.54,Quotient,See other registration items,Reinforced concrete construction,108.0,57.32,1,1,1,有,有,18800000.0,327983.25191905093,Not Applicable,0.0,0,2016,09,1908.0,1,1,0
Zhongzheng District,Premises (land + building) + parking space,5.64,Quotient,See other registration items,Reinforced concrete construction,108.0,76.58,1,1,1,有,有,21000000.0,274223.03473491775,Tower parking,20.73,2000000,2019,04,1911.0,1,1,1
Zhongzheng District,Premises (land + building),7.22,Quotient,See other registration items,Reinforced concrete construction,108.0,74.67,2,1,1,有,有,27000000.0,361591.0004017678,Not Applicable,0.0,0,2019,08,1911.0,1,1,0
Wanhua District,Premises (land + building),22.71,Quotient,Resident,Reinforced concrete construction,61.0,101.45,3,2,1,有,無,14000000.0,137999.01429275505,Not Applicable,0.0,0,2019,09,1958.0,3,1,0
Wanhua District,Premises (land + building) + parking space,9.71,Quotient,Resident,Reinforced concrete construction,104.0,154.9,2,2,2,有,有,28000000.0,180761.78179470624,Ramp plane,31.12,0,2019,09,1915.0,1,1,1
Neihu District,Premises (land + building),11.6,Address,Resident,Reinforced concrete construction,96.0,52.2,2,1,1,有,有,9960000.0,190804.5977011494,Not Applicable,0.0,0,2019,10,1923.0,1,1,0
Zhongshan Area,Premises (land + building),15.16,Quotient,Resident,Reinforced concrete construction,75.0,82.64,1,1,1,有,無,12080000.0,146176.18586640852,Not Applicable,0.0,0,2019,09,1944.0,1,1,0
Neihu District,Premises (land + building) + parking space,72.94,Address,Resident,Reinforced concrete construction,86.0,175.0,3,2,2,有,有,31680000.0,181028.57142857142,Ramp plane,0.0,0,2019,09,1933.0,1,1,1
Neihu District,Premises (land + building) + parking space,15.95,Address,Resident,Reinforced concrete construction,87.0,96.16999999999999,2,2,1,有,有,16800000.0,174690.65197046899,Ramp machinery,19.0,0,2019,10,1932.0,1,1,1
Zhongshan Area,Premises (land + building) + parking space,47.09,Address,Resident,Reinforced concrete construction,89.0,155.45999999999998,2,2,2,有,有,25000000.0,160813.07088640166,Ramp plane,0.0,0,2019,08,1930.0,1,1,1
Neihu District,Land,5.75,Address,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,1305000.0,226956.52173913043,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Zhongshan Area,Garage,1.75,Quotient,Parking space,Reinforced concrete construction,97.0,80.5,0,0,0,有,有,2600000.0,32298.13664596273,Ramp plane,0.0,2600000,2019,10,1922.0,0,0,2
Zhongshan Area,Garage,0.87,Quotient,Parking space,Reinforced concrete construction,97.0,40.24,0,0,0,有,有,1200000.0,29821.07355864811,Ramp plane,40.24,1200000,2019,10,1922.0,0,0,1
Neihu District,Premises (land + building),23.24,Address,Resident,Reinforced concrete construction,73.0,89.72,3,2,2,有,無,13600000.0,151582.70173874276,Not Applicable,0.0,0,2019,10,1946.0,1,1,0
Zhongshan Area,Premises (land + building),28.25,Quotient,Resident,Strengthen brickwork,61.083333333333336,91.18,2,2,1,有,無,18500000.0,202895.37179205965,Not Applicable,0.0,0,2019,09,1957.9166666666667,1,1,0
Zhongshan Area,Premises (land + building) + parking space,15.71,Quotient,See other registration items,Reinforced concrete construction,106.0,158.31,0,0,0,無,有,29600000.0,186974.9226201756,Lifting plane,42.73,1000000,2019,10,1913.0,1,1,1
Zhongshan Area,Premises (land + building),8.97,Quotient,Resident,Reinforced concrete construction,63.0,33.72,0,0,0,無,無,4030000.0,119513.64175563464,Not Applicable,0.0,0,2019,07,1956.0,1,1,0
Neihu District,Premises (land + building) + parking space,27.54,Address,Resident,Reinforced concrete construction,75.0,103.06,3,2,1,有,無,8500000.0,82476.22744032602,Ground floor,0.0,0,2019,08,1944.0,1,1,1
